INVOICE_NUMBER,DATE,VENDOR_NUMBER,VENDORNAME,INVOICE_DESCRIPTION,ACCOUNT_DESCRIPTION,DEPTNAME,DEPTNUM,SUBDEPTNAME,SUBDEPTNUM,FYR,AMOUNT
"MAR, 2015",20-MAR-15,1867,PONTE DAVID,OVERPAYMENT,GENERAL FUND-Insurance Retirees,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,587.18
273875,27-FEB-15,25331,OFFICEMAX,OFFICE SUPPLIES,GENERAL FUND-Police-Patrol-Traffic-Supplies,Police,0800,Police-Patrol-Traffic,0800-0839,Fiscal 14/15,133.66
BENFIT CARD 2/22,22-FEB-15,5256,CDS GROUP HEALTH,FLEX SPENDING - COR,GENERAL FUND-Flex Spend Acct-City,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,6898.96
5438,07-NOV-14,92,SPERBER,RENTALS,GENERAL FUND-Fire-Fleet Management-Rentals,Fire,0900,Fire-Fleet Management,0900-1216,Fiscal 14/15,9680.08
2015-00002900,13-MAR-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,192
899518815-083,31-OCT-14,17571,SPRINT,CELLULAR SERVICES - WIRELESS CARDS,GENERAL FUND-Police-Patrol-Crime Prevention-Communication,Police,0800,Police-Patrol-Crime Prevention,0800-0836,Fiscal 14/15,635.96
109552,13-FEB-15,411,MACHABEE OFFICE ENVIRONMENTS,2nd floor office cube furniture,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies-to be tracked,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,110.8
2015-00002367,26-DEC-14,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,2640
PPE 03/05/2015,13-MAR-15,1212,COMMUNITY FOUNDATION OF WESTERN NEVADA,CFWN,GENERAL FUND-Community Foundation Western NV,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,15
109552,13-FEB-15,411,MACHABEE OFFICE ENVIRONMENTS,2nd floor office cube furniture,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies-to be tracked,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,84
92900633,26-DEC-14,6555,ESRI INC,ArcGIS,SANITARY SEWER O/M FUND-Public Works-Sewer & Storm Drain Maintenance-Outside services-other,Public Works,1200,Public Works-Sewer & Storm Drain Maintenance,1200-1215,Fiscal 14/15,400
RENOCAP05A_0215,02-FEB-15,474,THE BANK OF NEW YORK,1522941358BM0I70,EVENT CENTER BOND DEBT FUND-Debt Service-Non-Departmental-Interest-SWAP-05A Cap Imprv Rev,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,1984.23
2015-00002490,16-JAN-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,115
2015-00003061,03-APR-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1562
PPE 12/11/2014,19-DEC-14,1212,COMMUNITY FOUNDATION OF WESTERN NEVADA,ADP PAYROLL - VENDORS PD BY CHECK,GENERAL FUND-Community Foundation Western NV,Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,15
NOVEMBER 2014,12-DEC-14,8501,NINO DE GUZMAN,"LEGAL SERVICES, Interpreters",GENERAL FUND-Municipal Court-Program & Service Management-Outside services-personnel,Municipal Court,1100,Municipal Court-Program & Service Management,1100-0001,Fiscal 14/15,1800
FEB 2015/CA,13-MAR-15,8501,NINO DE GUZMAN,"LEGAL SERVICES, Interpreters",GENERAL FUND-City Attorney-Criminal Division-Outside services-personnel,City Attorney,0500,City Attorney-Criminal Prosecution,0500-0560,Fiscal 14/15,750
RENOCAP05A_1114,03-NOV-14,474,THE BANK OF NEW YORK,14AVE52475Q60C17,EVENT CENTER BOND DEBT FUND-Debt Service-Non-Departmental-Interest-SWAP-05A Cap Imprv Rev,Debt Service Expenditures,1500,Debt Service-Non-Departmental,1500-9999,Fiscal 14/15,3032.51
109552,13-FEB-15,411,MACHABEE OFFICE ENVIRONMENTS,2nd floor office cube furniture,BUILDING PERMIT FUND-Community Development-Building Permits-Enforcement-Supplies-to be tracked,Community Development,0700,Community Development-Building Permits-Enforcement,0700-0770,Fiscal 14/15,60
56551,26-DEC-14,6412,,PD - Vests,GENERAL FUND-Police-Program & Service Management-Drug forfeiture-expense,Police,0800,Police-Program & Service Management,0800-0001,Fiscal 14/15,18955.2
2015-00002945,20-MAR-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,1353
2015-00002850,06-MAR-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,500
2603821,13-MAR-15,5596,,Exercise Equipment,"GENERAL FUND-Parks, Rec. & Community Service-Recreation-Inclusion-Adaptive Programs-Supplies",Parks and Recreation,1300,"Parks, Rec. & Community Service-Recreation-Inclusion",1300-1351,Fiscal 14/15,440
2015-00002497,16-JAN-15,9999999999,TEMP,BAIL REFUND,"GENERAL FUND-Deposits, bails",Citywide,XXXX,Citywide,XXXX-XXXX,Fiscal 14/15,743
